id,name,date,diameter_avg,velocity_km_s,miss_distance_km,energy_megatons_TNT
3427459,(2008 SS),2025-10-03,157.59506615229998,14.5278596145,17860588.568532283,155.07054924865884
3716631,(2015 HN9),2025-10-03,129.8801007541,7.7084299078,12307670.348249437,24.43756396928719
3720000,(2015 KT120),2025-10-03,41.0716941115,11.569203976,39827549.38855575,1.7407364063807662
54201807,(2021 SY3),2025-10-03,17.12153180235,5.9294008854,7782741.82159392,0.03312437433004217
54212590,(2021 UJ1),2025-10-03,23.310018428,22.1261472346,66740907.725807328,1.1639589178611152
54265626,(2022 FL1),2025-10-03,6.1029894169,7.6817966076,71679427.628638257,0.0025179764516879348
54300842,(2022 QG41),2025-10-03,174.39844844165,11.9542122564,16201986.67654904,142.28790391100114
54309253,(2022 SK21),2025-10-03,32.62440628075,2.376499605,21283967.780194912,0.036813028662711064
54324411,(2022 VV),2025-10-03,78.6217338036,9.0730597852,30486923.428302029,7.509890440348902
54383301,(2023 RV12),2025-10-03,24.7481430032,13.598403206,28643357.009475281,0.5261406835057928
54385247,(2023 SV1),2025-10-03,64.20112182964999,31.8007142527,59952516.85623488,50.23423639791484
54417174,(2023 XJ16),2025-10-03,446.21340888099996,26.1780296583,71944436.919310756,11428.782476400036
54486931,(2024 TW),2025-10-03,6.974974382099999,11.8351736661,7983747.398922211,0.008922269274743917
54542743,(2025 QK10),2025-10-03,64.4974607437,11.8906355112,12572284.43126897,7.120921356986766
54544998,(2025 RH2),2025-10-03,45.034217071949996,5.0764958157,7514832.23213637,0.44182890157217813
54546468,(2025 SV2),2025-10-03,48.16622575275,7.2831111038,17635842.871379869,1.112653469271982
54547367,(2025 SV6),2025-10-03,15.687098259599999,4.9706195643,1792229.695687772,0.0179038778340123
54549686,(2025 SE29),2025-10-03,124.83679689385,8.6380022778,4750727.168415926,27.249132741894496
54549682,(2025 TC),2025-10-03,17.0193361778,16.1507639147,85712.39881224,0.24138606427802156
54550514,(2025 TS),2025-10-03,14.552667841,9.1488496108,647814.666864232,0.04842381854152574
2247517,247517 (2002 QY6),2025-10-05,507.62454924335003,18.2933115903,20515575.808930915,8216.951425498222
2319988,319988 (2007 DK),2025-10-05,554.0419088158001,14.2822478089,19650688.633822096,6512.0718619176805
3092506,(2001 WJ4),2025-10-05,14.24106985895,18.2830043948,74084958.191803626,0.18122628314293554
3746623,(2016 EF156),2025-10-05,49.37903709974999,17.7913534994,51388712.782018591,7.153919250223496
3830865,(2018 SP1),2025-10-05,103.16743115780001,16.381588731,5041878.253037102,55.31438563381204
54051291,(2020 QW2),2025-10-05,326.2440628073,21.5787552506,42875160.292871659,3035.140742253359
54296533,(2022 QE1),2025-10-05,9.2798854819,9.2772720654,25006707.080077523,0.01291120099031127
54547735,(2025 SY10),2025-10-05,25.312941582199997,11.4006049777,6006932.706187124,0.39571439773862693
54549110,(2025 SN21),2025-10-05,20.15313512725,8.3257528748,2845700.544110071,0.10650575812159012
54549113,(2025 SJ22),2025-10-05,34.6691039288,8.4272778166,4277497.778576729,0.5555212528343458
54549130,(2025 SO27),2025-10-05,14.175638086500001,6.4809213857,3948289.45958095,0.022459473073320035
54550502,(2025 TL),2025-10-05,95.88322144560001,17.976884406,4434195.054854171,53.47550662917968
54550507,(2025 TO),2025-10-05,10.5765156622,6.9331467271,1262890.55794874,0.010675465926754621
3428698,(2008 TD),2025-10-04,35.77195014895,14.1369290299,24268337.351831707,1.7172606229726561
3667048,(2014 GQ17),2025-10-04,16.350935932549998,9.9368459615,49002315.99586324,0.08102577079887682
3728859,(2015 SZ16),2025-10-04,113.12083881665,11.0165230119,58516116.899222571,32.97730401608332
3799876,(2018 ES3),2025-10-04,50.7624549243,11.797074683,40987360.835682459,3.4172339598239585
3878561,(2019 TS1),2025-10-04,60.47036873649999,13.1404929752,20399348.107480761,7.167197513047479
3879165,(2019 TY6),2025-10-04,42.2223709383,15.2109133457,18340416.855055263,3.269163493492243
3991587,(2020 CR2),2025-10-04,14.775514650349999,21.6957600212,27751317.357208065,0.2850203000644677
54154694,(2021 LA1),2025-10-04,38.86356324855,6.0965747505,30652379.959063711,0.4095414487256226
54193830,(2021 RF4),2025-10-04,83.85763631935001,5.5201197288,56213476.325251979,3.3730521131533266
54202332,(2021 TD1),2025-10-04,27.0111215259,15.7162809525,25687173.067806677,0.913746284119109
54203006,(2021 SZ4),2025-10-04,346.37187204495,44.5235909383,71892716.088680768,15463.451056275844
54215217,(2021 VO),2025-10-04,237.43384026115,13.2737991015,57426097.675502276,442.70715056903396
54265894,(2022 FF3),2025-10-04,12.0099891998,9.5535291324,46320602.018884444,0.02967930457412947
54352299,(2023 FL4),2025-10-04,41.64305829115,15.0262947206,74202950.923722975,3.0607641185161465
54390823,(2023 TT),2025-10-04,65.9997995989,17.0960093943,25814258.373224413,15.773045338935695
54392067,(2023 TM3),2025-10-04,17.6012137417,21.3994446068,45856607.814193105,0.46873896855056946
54546621,(2025 SS3),2025-10-04,77.2934365368,12.9962346815,9826487.424155292,14.64067655606322
54549112,(2025 SG22),2025-10-04,77.57872127165001,15.2146676137,15191996.942715212,20.28854927572314
54549680,(2025 SZ27),2025-10-04,39.331690844549996,16.413799511,1180837.188398617,3.0771190917842257
3693271,(2014 TT57),2025-10-10,187.7338630584,16.7260285699,70260036.021938154,347.4655278757408
3831218,(2018 TD2),2025-10-10,21.5547314748,16.4771934174,23883806.214611654,0.5103786930635762
54143218,(2021 JQ),2025-10-10,74.7381970393,10.0275543149,47119006.673862729,7.8798164659621595
